20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_apr17.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_sparc_sbz_apr23.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eqgrp_triangulation_jun23.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_eternalblue_non_wannacry.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_exile_rat.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_f5_bigip_expl_payloads.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fakem_backdoor.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_computrace_agent.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_dnc.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fancybear_osxagent.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fidelis_phishing_plain_sight.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin7.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin7_backdoor.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fin8.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_flame2_orchestrator.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_foudre.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_four_element_sword.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_freemilk.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fujinama_rat.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_furtim.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fvey_shadowbroker_dec16.yar
20231101T06:33:18Z DESKTOP-DC910GV LOKI: Info: MODULE: Upgrader MESSAGE: New signature file: apt_fvey_shadowbroker_jan17.yar
